Référence;Désignation;Sous catégorie;Fabriquant ;commentaire ;Prix d'achat;Fournisseur
1600A021BH;Systèmes d'aspiration GDE 28 D pour GBH 18V-28 D (oeil4-16mm+16-28mm+rallonge100mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;59;
1600A00F85;Dustcup- dispositif d'aspiration (C);ACCESSOIRE OUTILLAGE;BOSCH;;15;
1600A0015Z;Système d'aspiration GDE 16 Plus compatible avec tous les perforateurs SDS-plus Bosch Professional 2 et 3 kg avec un collet de 50 mm - avec adapteur pour couronne trépans (C);ACCESSOIRE OUTILLAGE;BOSCH;;95;
1600A001FJ;Système d'aspiration GDE 16 CLY compatible avec les perçeuses à percussion GSB 16 RE GSB 20-2 GSB 24-2 et GSB 21-2 RCT  (C);ACCESSOIRE OUTILLAGE;BOSCH;;95;
1600A0051M;Système d'aspiration GDE 18V-16 compatible avec le GBH 18V-26 F (C);ACCESSOIRE OUTILLAGE;BOSCH;;149;
1600A028H6;Système d'aspiration GDE 18V-12 compatble avec le GBH 18V-22 (C);ACCESSOIRE OUTILLAGE;BOSCH;;79;
1600A01TX0;Système d'aspiration GDE 18V-26 D compatible avec le GBH 2-28, GBH 2-28 F, GBH 2-28 L, GBH 2-26, GBH 2-26 F, GBH 18V-26 D (C);ACCESSOIRE OUTILLAGE;BOSCH;;119;
1600A033BA;Système d'aspiration GDE max (C);ACCESSOIRE OUTILLAGE;BOSCH;;165;
1600A001G7;Système d'aspiration GDE 68 compatible avec tous les outils perçage du marché avec un diamètre max 68 mm (C);ACCESSOIRE OUTILLAGE;BOSCH;;49;
1600A001G8;Système d'aspiration GDE 162 compatible avec tous les outils perçages du marché dont le diamètre de perçage max est 162 mm (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;65;
1600A001G9;Système d'aspiration GDE max compatible avec tous les perforateurs et piqueurs SDS Max Bosch Professional sauf le GSH 11 E (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;155;
1600A001GA;Système d'aspiration GDE Hex compatible avec tous les brise-béton Bosch Professional et le gSH 11 VC (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;145;
060127A300;Touret à meuler GBG 35-15 (C);ACCESSOIRE OUTILLAGE;BOSCH;;175;
060127A400;Touret à meuler GBG 60-20 (C);ACCESSOIRE OUTILLAGE;BOSCH;;269;
1600A003DJ;Système d'aspiration GDE 125 EA-S pour meuleuses Ø125mm. Profondeur de coupe max.25mm. Compatible avec les meuleuses à capot de protection à vis. (C);ACCESSOIRE OUTILLAGE;BOSCH;;79;
1600A003DK;Système d'aspiration GDE 125 EA-T pour meuleuses Ø125mm. Profondeur de coupe max.25mm. Compatible avec les meuleuses à capot de protection à crans. (C);ACCESSOIRE OUTILLAGE;BOSCH;;95;
1600A003DH;Système d'aspiration GDE 115/125 FC-T pour meuleuses Ø115mm et 125mm Profondeur de coupe max.20/25mm - roues intégrées. (C);ACCESSOIRE OUTILLAGE;BOSCH;;79;
1600A003DM;Système d'aspiration GDE 230 FC-T pour meuleuses Ø230mm. Profondeur de coupe max.60mm - roues intégrées.(C);ACCESSOIRE OUTILLAGE;BOSCH;;219;
1600A003DL;Système d'aspiration GDE 230 FC-S pour meuleuses Ø230mm. Profondeur de coupe max.60mm - roues intégrées. (C);ACCESSOIRE OUTILLAGE;BOSCH;;219;
1600A0011C;Compas OFZ compatble pour defonceuse (C);ACCESSOIRE OUTILLAGE;BOSCH;;23;
060160A800;Base plongeante TE 600 pour défonceuse (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;95;
1600Z00005;Rail de guidage FSN 800 (C);ACCESSOIRE OUTILLAGE;BOSCH;;59;
1600Z0000F;Rail de guidage FSN 1600 (C);ACCESSOIRE OUTILLAGE;BOSCH;;109;
1600A001F8;Serre-joints de rail FSN KZW (C);ACCESSOIRE OUTILLAGE;BOSCH;;75;
1600Z00006;Rail de guidage FSN 1100 (C);ACCESSOIRE OUTILLAGE;BOSCH;;89;
1600Z00009;Raccord pour rail de guidage FSN VEL (C);ACCESSOIRE OUTILLAGE;BOSCH;;75;
1600Z0000D;Protection anti eclats FSN SS (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;28;
1610Z00020;Sac de rangement pour FSN sac;ACCESSOIRE OUTILLAGE;BOSCH;;45;
1600Z0000G;Rail de guidage FSN OFA (C);ACCESSOIRE OUTILLAGE;BOSCH;;75;
1600Z00007;Rail de guidage FSN 2100 (C);ACCESSOIRE OUTILLAGE;BOSCH;;145;
1600Z0000A;Butée angulaire FSN WAN  (C);ACCESSOIRE OUTILLAGE;BOSCH;;109;
1600A001FS;Adaptateur rail de guidage FSN SA (C);ACCESSOIRE OUTILLAGE;BOSCH;;15;
1600Z0003W;Rail de guidage FSN RA 32 1600 (C);ACCESSOIRE OUTILLAGE;BOSCH;;115;
1600Z00008;Rail de guidage FSN 3100 (C);ACCESSOIRE OUTILLAGE;BOSCH;;235;
1600A001FT;Guide circulaire KS 3000 + adaptateur rail de guidage FSN SA (C);ACCESSOIRE OUTILLAGE;BOSCH;;79;
1600A001T8;KIT PIETEMENT FSN OFA 32 800 L;ACCESSOIRE OUTILLAGE;BOSCH;;225;
1600Z0000M;Rail de guidage FSN RS (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;28;
1600Z0000E;Bande adhesive FSN HB (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;28;
1600Z0000C;Capot en plastique FSN KK (C);ACCESSOIRE OUTILLAGE;BOSCH;;17;
1600Z0003V;Rail de guidage FSN RA 32 800 (C);ACCESSOIRE OUTILLAGE;BOSCH;;69;
1600Z0003X;Adaptateur RA 32  pour FSN et defonceuse (C) ;ACCESSOIRE OUTILLAGE;BOSCH;;20;
F016800631;Set de lames de rechange 23 cm pour débroussailleuse (C);ACCESSOIRE OUTILLAGE;BOSCH;;38;
F016800629;Lame de rechange 23cm (C);ACCESSOIRE OUTILLAGE;BOSCH;;33;
F016800628;Bobine fil  24m, 2.4mm;ACCESSOIRE OUTILLAGE;BOSCH;;21;
F016800638;Lame de rechange 46cm Pour Tondeuse GRA 18V2-46 (C);ACCESSOIRE OUTILLAGE;BOSCH;;29;
F016800647;Chaine de tronçonneuse PRO 40cm (1.1mm);ACCESSOIRE OUTILLAGE;BOSCH;;35;
F016800454;Adaptateur ;ACCESSOIRE OUTILLAGE;BOSCH;;50,99;
F016800382;Buse à jet moussant tous GHP;ACCESSOIRE OUTILLAGE;BOSCH;;164,99;
F016800427;Kit de Débouchage 8m GHP 2014;ACCESSOIRE OUTILLAGE;BOSCH;;109,49;
F016800429;Kit de Débouchage 16m GHP 2014;ACCESSOIRE OUTILLAGE;BOSCH;;202,49;
F016800441;Kit de Débouchage 8 m ;ACCESSOIRE OUTILLAGE;BOSCH;;164,99;
F016800442;Kit de Débouchage 16 m ;ACCESSOIRE OUTILLAGE;BOSCH;;217,49;
F016800335;Kit auto-amorçage tous GHP;ACCESSOIRE OUTILLAGE;BOSCH;;89,99;
F016800446;Buse rotative - GHP 5-55 (bleu) ;ACCESSOIRE OUTILLAGE;BOSCH;;164,99;
06019K8000;Affleureuse sans fil GCU 18V-30 solo (C);AFFLEUREUSE;BOSCH;;209;
06019K8002;Affleureuse sans fil GCU 18V-30 solo L;AFFLEUREUSE;BOSCH;;229;
06016B0000;Affleureusesans fil GKF 12V-8 + batteries GBA 2x3,0Ah + chargeur GAL 12V-40 L;AFFLEUREUSE;BOSCH;;359;
06016B0001;Aflleureuse sans fil GKF 12V-8 solo + 2 fraises L;AFFLEUREUSE;BOSCH;;239;
06016B0002;Affleureuse sans fil GKF 12V-8 solo (C) ;AFFLEUREUSE;BOSCH;;199;
06016C2000;Affleureuse-defonceuse sans fil GKF 18V-8 solo + 1x guide parallèle + 1x Pince de serrage 8mm + 1x Clé plate + 3x adaptateurs poussière (C);AFFLEUREUSE;BOSCH;;265;
06016C2001;Affleureuse-defonceuse sans fil GKF 18V-8 solo + 1x guide parallèle + 1x Pince de serrage 8mm + 1x Clé plate + 3x adaptateurs poussière L;AFFLEUREUSE;BOSCH;;309;
